ResearchNumber,SealNumber,State,Species,DeathLocation,DateCollected,SampleType,Sex,AgeClass,Notes
,2141337,Maine,Odocoileus virginianus,Mount Vernon,NA,Lymph Node,M,NA,
,2117780,Maine,Odocoileus virginianus,Madison,NA,Lymph Node,M,NA,
,2136854,Maine,Odocoileus virginianus,Chesterville,NA,Lymph Node,F,NA,
,2138326,Maine,Odocoileus virginianus,Winslow,NA,Lymph Node,M,NA,
,2141161,Maine,Odocoileus virginianus,Mount Vernon,NA,Lymph Node,M,NA,
,2136857,Maine,Odocoileus virginianus,Chesterville,NA,Lymph Node,M,NA,
,2156146,Maine,Odocoileus virginianus,Glenburn,NA,Lymph Node,F,NA,
,2160330,Maine,Odocoileus virginianus,Mount Vernon,NA,Lymph Node,M,NA,
,2111399,Maine,Odocoileus virginianus,Newport,NA,Lymph Node,F,NA,
,2168582,Maine,Odocoileus virginianus,China,NA,Lymph Node,F,NA,
,2160534,Maine,Odocoileus virginianus,Mount Vernon,NA,Lymph Node,M,NA,
,2135376,Maine,Odocoileus virginianus,Livermore,NA,Lymph Node,M,NA,
,2167502,Maine,Odocoileus virginianus,Dresden,NA,Lymph Node,F,NA,
,2149648,Maine,Odocoileus virginianus,Rockland,NA,Lymph Node,F,NA,
,2135522,Maine,Odocoileus virginianus,Liberty,NA,Lymph Node,F,NA,
,2161346,Maine,Odocoileus virginianus,Dixmont,NA,Lymph Node,M,NA,
,2157414,Maine,Odocoileus virginianus,Searsmont,NA,Lymph Node,F,NA,
,2111527,Maine,Odocoileus virginianus,Jefferson,NA,Lymph Node,M,NA,
,2153119,Maine,Odocoileus virginianus,Levant,NA,Lymph Node,M,NA,
,2161396,Maine,Odocoileus virginianus,Carmel,NA,Lymph Node,M,NA,
,2141255,Maine,Odocoileus virginianus,Mount Vernon,NA,Lymph Node,M,NA,
,2168750,Maine,Odocoileus virginianus,Winslow,NA,Lymph Node,M,NA,
,2169011,Maine,Odocoileus virginianus,Dresden,NA,Lymph Node,F,NA,
,2161386,Maine,Odocoileus virginianus,Dixmont,NA,Lymph Node,F,NA,
,2137383,Maine,Odocoileus virginianus,Jefferson,NA,Lymph Node,M,NA,
,2148388,Maine,Odocoileus virginianus,Lily Bay Twp,NA,Lymph Node,M,NA,
,2140630,Maine,Odocoileus virginianus,Exeter,NA,Lymph Node,M,NA,
,2124943,Maine,Odocoileus virginianus,Jefferson,NA,Lymph Node,M,NA,
,2136224,Maine,Odocoileus virginianus,Harmony,NA,Lymph Node,F,NA,
,2153327,Maine,Odocoileus virginianus,Dixmont,NA,Lymph Node,M,NA,
,2146678,Maine,Odocoileus virginianus,Rockland,NA,Lymph Node,M,NA,
,2137525,Maine,Odocoileus virginianus,Jefferson,NA,Lymph Node,M,NA,
,2166054,Maine,Odocoileus virginianus,Chelsea,NA,Lymph Node,F,NA,
,2162715,Maine,Odocoileus virginianus,Norridgewock,NA,Lymph Node,M,NA,
,2135603,Maine,Odocoileus virginianus,Washington,NA,Lymph Node,F,NA,
,2161265,Maine,Odocoileus virginianus,Carmel,NA,Lymph Node,M,NA,
,2161934,Maine,Odocoileus virginianus,China,NA,Lymph Node,M,NA,
,2146278,Maine,Odocoileus virginianus,Dresden,NA,Lymph Node,M,NA,
,2137532,Maine,Odocoileus virginianus,Jefferson,NA,Lymph Node,M,NA,
,2160534,Maine,Odocoileus virginianus,Mount Vernon,NA,Lymph Node,M,NA,
,2161123,Maine,Odocoileus virginianus,Carmel,NA,Lymph Node,M,NA,
,2161174,Maine,Odocoileus virginianus,Carmel,NA,Lymph Node,M,NA,
,2121098,Maine,Odocoileus virginianus,Jefferson,NA,Lymph Node,F,NA,
,2169216,Maine,Odocoileus virginianus,Dresden,NA,Lymph Node,M,NA,
,2161883,Maine,Odocoileus virginianus,Liberty,NA,Lymph Node,F,NA,
,2114091,Maine,Odocoileus virginianus,China,NA,Lymph Node,F,NA,
,2170547,Maine,Odocoileus virginianus,Jefferson,NA,Lymph Node,M,NA,
,2153159,Maine,Odocoileus virginianus,Carmel,NA,Lymph Node,M,NA,
,2121092,Maine,Odocoileus virginianus,Somerville,NA,Lymph Node,F,NA,
,2161882,Maine,Odocoileus virginianus,Liberty,NA,Lymph Node,F,NA,
,2111541,Maine,Odocoileus virginianus,Liberty,NA,Lymph Node,M,NA,
,2112480,Maine,Odocoileus virginianus,Dresden,NA,Lymph Node,M,NA,
,2166290,Maine,Odocoileus virginianus,Cambridge,NA,Lymph Node,M,NA,
,2153687,Maine,Odocoileus virginianus,Caribou,NA,Lymph Node,M,NA,
,2121096,Maine,Odocoileus virginianus,Somerville,NA,Lymph Node,F,NA,
,2169880,Maine,Odocoileus virginianus,Georgetown,NA,Lymph Node,M,NA,
,2172381,Maine,Odocoileus virginianus,Liberty,NA,Lymph Node,F,NA,
,2161353,Maine,Odocoileus virginianus,Carmel,NA,Lymph Node,M,NA,
,2154854,Maine,Odocoileus virginianus,Dixmont,NA,Lymph Node,M,NA,
,2151532,Maine,Odocoileus virginianus,Dixmont,NA,Lymph Node,F,NA,
,2177427,Maine,Odocoileus virginianus,Harmony,NA,Lymph Node,M,NA,
,2136217,Maine,Odocoileus virginianus,Harmony,NA,Lymph Node,F,NA,
,2136211,Maine,Odocoileus virginianus,Cambridge,NA,Lymph Node,M,NA,
,2134274,Maine,Odocoileus virginianus,Alder Brook Twp,NA,Lymph Node,M,NA,
,2134358,Maine,Odocoileus virginianus,Jackman,NA,Lymph Node,M,NA,
,2136192,Maine,Odocoileus virginianus,Cambridge,NA,Lymph Node,F,NA,
,2134269,Maine,Odocoileus virginianus,Long Pond Twp,NA,Lymph Node,M,NA,
,2141901,Maine,Odocoileus virginianus,Dover-Foxcroft,NA,Lymph Node,F,NA,
,2134271,Maine,Odocoileus virginianus,Long Pond Twp,NA,Lymph Node,M,NA,
,2134321,Maine,Odocoileus virginianus,Moose River,NA,Lymph Node,M,NA,
,2148148,Maine,Odocoileus virginianus,Cambridge,NA,Lymph Node,F,NA,
,2131544,Maine,Odocoileus virginianus,Amherst,NA,Lymph Node,M,NA,
,2131547,Maine,Odocoileus virginianus,Amherst,NA,Lymph Node,M,NA,
,2153991,Maine,Odocoileus virginianus,Greenlaw Chopping Twp,NA,Lymph Node,M,NA,
,2153992,Maine,Odocoileus virginianus,Grand Lake Stream Plt,NA,Lymph Node,F,NA,
,2131535,Maine,Odocoileus virginianus,Amherst,NA,Lymph Node,M,NA,
,2153990,Maine,Odocoileus virginianus,Grand Lake Stream Plt,NA,Lymph Node,M,NA,
,2120544,Maine,Odocoileus virginianus,Bridgewater,NA,Lymph Node,M,NA,
,2143433,Maine,Odocoileus virginianus,Ashland,NA,Lymph Node,F,NA,
,2146564,Maine,Odocoileus virginianus,T14 R13 WELS,NA,Lymph Node,M,NA,
,2146550,Maine,Odocoileus virginianus,Allagash,NA,Lymph Node,M,NA,
,2146571,Maine,Odocoileus virginianus,Allagash,NA,Lymph Node,M,NA,
,2148501,Maine,Odocoileus virginianus,Eagle Lake,NA,Lymph Node,M,NA,
,2146076,Maine,Odocoileus virginianus,T16 R13 WELS,NA,Lymph Node,M,NA,
,2146430,Maine,Odocoileus virginianus,NA,NA,Lymph Node,NA,NA,
,2146437,Maine,Odocoileus virginianus,T17 R12 WELS,NA,Lymph Node,M,NA,
,2146071,Maine,Odocoileus virginianus,T15 R12 WELS,NA,Lymph Node,M,NA,
,2146434,Maine,Odocoileus virginianus,T15 R11 WELS,NA,Lymph Node,M,NA,
,2146074,Maine,Odocoileus virginianus,T18 R10 WELS,NA,Lymph Node,M,NA,
,2133171,Maine,Odocoileus virginianus,Bridgewater,NA,Lymph Node,M,NA,
,2143385,Maine,Odocoileus virginianus,Masardis,NA,Lymph Node,M,NA,
,2143413,Maine,Odocoileus virginianus,Ashland,NA,Lymph Node,M,NA,
,2137259,Maine,Odocoileus virginianus,Ashland,NA,Lymph Node,M,NA,
,2144907,Maine,Odocoileus virginianus,Oxbow North Twp,NA,Lymph Node,M,NA,
,2123260,Maine,Odocoileus virginianus,Linneus,NA,Lymph Node,M,NA,
,2146080,Maine,Odocoileus virginianus,Big Twenty Twp,NA,Lymph Node,M,NA,
,2133213,Maine,Odocoileus virginianus,Monticello,NA,Lymph Node,M,NA,
,2137277,Maine,Odocoileus virginianus,T8 R10 WELS,NA,Lymph Node,M,NA,
,2133179,Maine,Odocoileus virginianus,Monticello,NA,Lymph Node,F,NA,
,2149482,Maine,Odocoileus virginianus,Houlton,NA,Lymph Node,M,NA,
,2143405,Maine,Odocoileus virginianus,Masardis,NA,Lymph Node,M,NA,
,2144112,Maine,Odocoileus virginianus,Littleton,NA,Lymph Node,F,NA,
,2123241,Maine,Odocoileus virginianus,Hodgdon,NA,Lymph Node,M,NA,
,2133173,Maine,Odocoileus virginianus,Littleton,NA,Lymph Node,M,NA,
,2149481,Maine,Odocoileus virginianus,Linneus,NA,Lymph Node,M,NA,
,2141921,Maine,Odocoileus virginianus,Sebec,NA,Lymph Node,M,NA,
,2141889,Maine,Odocoileus virginianus,Dover-Foxcroft,NA,Lymph Node,M,NA,
,2145564,Maine,Odocoileus virginianus,Beaver Cove,NA,Lymph Node,M,NA,
,2144681,Maine,Odocoileus virginianus,Little W Twp,NA,Lymph Node,M,NA,
,2134340,Maine,Odocoileus virginianus,Hammond Twp,NA,Lymph Node,M,NA,
,2141932,Maine,Odocoileus virginianus,Dover-Foxcroft,NA,Lymph Node,F,NA,
,2141928,Maine,Odocoileus virginianus,Dover-Foxcroft,NA,Lymph Node,M,NA,
,2141937,Maine,Odocoileus virginianus,Dover-Foxcroft,NA,Lymph Node,F,NA,
,2141888,Maine,Odocoileus virginianus,Dover-Foxcroft,NA,Lymph Node,M,NA,
,2155903,Maine,Odocoileus virginianus,Dover-Foxcroft,NA,Lymph Node,F,NA,
,2176719,Maine,Odocoileus virginianus,Hammond Twp,NA,Lymph Node,M,NA,
,2174480,Maine,Odocoileus virginianus,Lincoln,NA,Lymph Node,M,NA,
,2135972,Maine,Odocoileus virginianus,Brownville,NA,Lymph Node,M,NA,
,2140726,Maine,Odocoileus virginianus,Levant,NA,Lymph Node,M,NA,
,2117986,Maine,Odocoileus virginianus,Sebec,NA,Lymph Node,M,NA,
,2124731,Maine,Odocoileus virginianus,Lincoln,NA,Lymph Node,M,NA,
,2136005,Maine,Odocoileus virginianus,Medford,NA,Lymph Node,M,NA,
,2135980,Maine,Odocoileus virginianus,Milo,NA,Lymph Node,M,NA,
,2136004,Maine,Odocoileus virginianus,Milo,NA,Lymph Node,M,NA,
,2143414,Maine,Odocoileus virginianus,Garfield Plt,NA,Lymph Node,M,NA,
,2135970,Maine,Odocoileus virginianus,Milo,NA,Lymph Node,F,NA,
,2174598,Maine,Odocoileus virginianus,Danforth,NA,Lymph Node,M,NA,
,2148135,Maine,Odocoileus virginianus,Cambridge,NA,Lymph Node,F,NA,
,2158274,Maine,Odocoileus virginianus,Carroll Plt,NA,Lymph Node,M,NA,
,2136115,Maine,Odocoileus virginianus,Brownville,NA,Lymph Node,M,NA,
,2124661,Maine,Odocoileus virginianus,Lincoln,NA,Lymph Node,M,NA,
,2174466,Maine,Odocoileus virginianus,Lincoln,NA,Lymph Node,M,NA,
,2165364,Maine,Odocoileus virginianus,Dover-Foxcroft,NA,Lymph Node,M,NA,
,2174603,Maine,Odocoileus virginianus,Danforth,NA,Lymph Node,M,NA,
,2136008,Maine,Odocoileus virginianus,Katahdin Iron Works Twp,NA,Lymph Node,M,NA,
,2158198,Maine,Odocoileus virginianus,Carroll Plt,NA,Lymph Node,M,NA,
,2145773,Maine,Odocoileus virginianus,Lincoln,NA,Lymph Node,M,NA,
,2174601,Maine,Odocoileus virginianus,Danforth,NA,Lymph Node,M,NA,
,2147918,Maine,Odocoileus virginianus,T4 R15 WELS,NA,Lymph Node,M,NA,
,2158209,Maine,Odocoileus virginianus,Carroll Plt,NA,Lymph Node,M,NA,
,2145710,Maine,Odocoileus virginianus,Lincoln,NA,Lymph Node,M,NA,
,2153296,Maine,Odocoileus virginianus,Dixmont,NA,Lymph Node,M,NA,
,2144716,Maine,Odocoileus virginianus,Dole Brook Twp,NA,Lymph Node,M,NA,
,2165329,Maine,Odocoileus virginianus,Sebec,NA,Lymph Node,F,NA,
,2136179,Maine,Odocoileus virginianus,Cambridge,NA,Lymph Node,M,NA,
,2161177,Maine,Odocoileus virginianus,Carmel,NA,Lymph Node,M,NA,
,2161212,Maine,Odocoileus virginianus,Carmel,NA,Lymph Node,M,NA,
,2153330,Maine,Odocoileus virginianus,Dixmont,NA,Lymph Node,M,NA,
,2158195,Maine,Odocoileus virginianus,Carroll Plt,NA,Lymph Node,M,NA,
,2165333,Maine,Odocoileus virginianus,Ripley,NA,Lymph Node,M,NA,
,2155730,Maine,Odocoileus virginianus,Levant,NA,Lymph Node,M,NA,
,2172170,Maine,Odocoileus virginianus,Rangeley,NA,Lymph Node,M,NA,
,2154606,Maine,Odocoileus virginianus,Eustis,NA,Lymph Node,M,NA,
,2119249,Maine,Odocoileus virginianus,Strong,NA,Lymph Node,M,NA,
,2157367,Maine,Odocoileus virginianus,Chesterville,NA,Lymph Node,M,NA,
,2135381,Maine,Odocoileus virginianus,Livermore,NA,Lymph Node,M,NA,
,2117107,Maine,Odocoileus virginianus,Magalloway Plt,NA,Lymph Node,M,NA,
,2154785,Maine,Odocoileus virginianus,Anson,NA,Lymph Node,M,NA,
,2154789,Maine,Odocoileus virginianus,Anson,NA,Lymph Node,M,NA,
,2155463,Maine,Odocoileus virginianus,Lincoln Plt,NA,Lymph Node,M,NA,
,2157201,Maine,Odocoileus virginianus,Chesterville,NA,Lymph Node,M,NA,
,2157208,Maine,Odocoileus virginianus,Chesterville,NA,Lymph Node,M,NA,
,2152872,Maine,Odocoileus virginianus,Livermore,NA,Lymph Node,M,NA,
,2149522,Maine,Odocoileus virginianus,Kingfield,NA,Lymph Node,M,NA,
,2132813,Maine,Odocoileus virginianus,Madison,NA,Lymph Node,M,NA,
,2145888,Maine,Odocoileus virginianus,Farmington,NA,Lymph Node,M,NA,
,2117571,Maine,Odocoileus virginianus,Starks,NA,Lymph Node,M,NA,
,2159454,Maine,Odocoileus virginianus,Livermore Falls,NA,Lymph Node,M,NA,
,2154706,Maine,Odocoileus virginianus,Starks,NA,Lymph Node,M,NA,
,2136717,Maine,Odocoileus virginianus,Peru,NA,Lymph Node,M,NA,
,2170861,Maine,Odocoileus virginianus,Starks,NA,Lymph Node,M,NA,
,2145794,Maine,Odocoileus virginianus,Farmington,NA,Lymph Node,M,NA,
,2135365,Maine,Odocoileus virginianus,Livermore,NA,Lymph Node,M,NA,
,2114679,Maine,Odocoileus virginianus,Madison,NA,Lymph Node,M,NA,
,2154733,Maine,Odocoileus virginianus,Starks,NA,Lymph Node,M,NA,
,2135400,Maine,Odocoileus virginianus,Livermore,NA,Lymph Node,M,NA,
,2135329,Maine,Odocoileus virginianus,Livermore,NA,Lymph Node,M,NA,
,2159363,Maine,Odocoileus virginianus,Farmington,NA,Lymph Node,M,NA,
,2144689,Maine,Odocoileus virginianus,T7 R18 WELS,NA,Lymph Node,M,NA,
,2155449,Maine,Odocoileus virginianus,Adamstown Twp,NA,Lymph Node,M,NA,
,2135306,Maine,Odocoileus virginianus,Livermore,NA,Lymph Node,M,NA,
,2155457,Maine,Odocoileus virginianus,Lang Twp,NA,Lymph Node,M,NA,
,215454,Maine,Odocoileus virginianus,Coplin Plt,NA,Lymph Node,NA,NA,
,2150967,Maine,Odocoileus virginianus,Andover,NA,Lymph Node,M,NA,
,2157922,Maine,Odocoileus virginianus,Madison,NA,Lymph Node,M,NA,
,2135133,Maine,Odocoileus virginianus,Livermore Falls,NA,Lymph Node,M,NA,
,2132794,Maine,Odocoileus virginianus,Lexington Twp,NA,Lymph Node,M,NA,
,2123949,Maine,Odocoileus virginianus,Starks,NA,Lymph Node,M,NA,
,2157279,Maine,Odocoileus virginianus,Starks,NA,Lymph Node,M,NA,
,2136858,Maine,Odocoileus virginianus,Chesterville,NA,Lymph Node,M,NA,
,2145890,Maine,Odocoileus virginianus,Farmington,NA,Lymph Node,M,NA,
,2157255,Maine,Odocoileus virginianus,Starks,NA,Lymph Node,M,NA,
,2154738,Maine,Odocoileus virginianus,Lexington Twp,NA,Lymph Node,M,NA,
,2114673,Maine,Odocoileus virginianus,Madison,NA,Lymph Node,M,NA,
,2157869,Maine,Odocoileus virginianus,Madison,NA,Lymph Node,M,NA,
,2154678,Maine,Odocoileus virginianus,Lexington Twp,NA,Lymph Node,M,NA,
,2154667,Maine,Odocoileus virginianus,Anson,NA,Lymph Node,M,NA,
,2133961,Maine,Odocoileus virginianus,Bald Mountain Twp T2 R3,NA,Lymph Node,M,NA,
,2155434,Maine,Odocoileus virginianus,Rangeley,NA,Lymph Node,M,NA,
,2114670,Maine,Odocoileus virginianus,Madison,NA,Lymph Node,M,NA,
,2117762,Maine,Odocoileus virginianus,Madison,NA,Lymph Node,M,NA,
,2161413,Maine,Odocoileus virginianus,Strong,NA,Lymph Node,M,NA,
,2150950,Maine,Odocoileus virginianus,Andover,NA,Lymph Node,M,NA,
,2155459,Maine,Odocoileus virginianus,Adamstown Twp,NA,Lymph Node,M,NA,
,2154729,Maine,Odocoileus virginianus,Madison,NA,Lymph Node,M,NA,
,2140369,Maine,Odocoileus virginianus,Peru,NA,Lymph Node,M,NA,
,2158742,Maine,Odocoileus virginianus,Bucksport,NA,Lymph Node,M,NA,
,2157858,Maine,Odocoileus virginianus,Madison,NA,Lymph Node,M,NA,
,2117311,Maine,Odocoileus virginianus,Rockwood Strip T1 R1 NBKP,NA,Lymph Node,M,NA,
,2154770,Maine,Odocoileus virginianus,Anson,NA,Lymph Node,M,NA,
,2136711,Maine,Odocoileus virginianus,Peru,NA,Lymph Node,M,NA,
,2154792,Maine,Odocoileus virginianus,Anson,NA,Lymph Node,M,NA,
,2120607,Maine,Odocoileus virginianus,East Moxie Twp,NA,Lymph Node,M,NA,
,2154779,Maine,Odocoileus virginianus,Anson,NA,Lymph Node,M,NA,
,2154795,Maine,Odocoileus virginianus,Lexington Twp,NA,Lymph Node,M,NA,
,2145871,Maine,Odocoileus virginianus,Farmington,NA,Lymph Node,M,NA,
,2118905,Maine,Odocoileus virginianus,Strong,NA,Lymph Node,M,NA,
,2157376,Maine,Odocoileus virginianus,Starks,NA,Lymph Node,M,NA,
,2136894,Maine,Odocoileus virginianus,Chesterville,NA,Lymph Node,M,NA,
,2133755,Maine,Odocoileus virginianus,West Forks Plt,NA,Lymph Node,M,NA,
,2154677,Maine,Odocoileus virginianus,Lexington Twp,NA,Lymph Node,M,NA,
,2158887,Maine,Odocoileus virginianus,Greenwood,NA,Lymph Node,M,NA,
,2155430,Maine,Odocoileus virginianus,Rangeley,NA,Lymph Node,M,NA,
,2150958,Maine,Odocoileus virginianus,Andover,NA,Lymph Node,M,NA,
,2155458,Maine,Odocoileus virginianus,Eustis,NA,Lymph Node,M,NA,
,2154619,Maine,Odocoileus virginianus,Coplin Plt,NA,Lymph Node,M,NA,
,2136852,Maine,Odocoileus virginianus,Chesterville,NA,Lymph Node,M,NA,
,2117756,Maine,Odocoileus virginianus,Madison,NA,Lymph Node,M,NA,
,2111144,Maine,Odocoileus virginianus,Magalloway Plt,NA,Lymph Node,M,NA,
,2135372,Maine,Odocoileus virginianus,Livermore,NA,Lymph Node,M,NA,
,2145841,Maine,Odocoileus virginianus,Farmington,NA,Lymph Node,M,NA,
,2145944,Maine,Odocoileus virginianus,Chesterville,NA,Lymph Node,M,NA,
,2150947,Maine,Odocoileus virginianus,Andover,NA,Lymph Node,M,NA,
,2155441,Maine,Odocoileus virginianus,Magalloway Plt,NA,Lymph Node,M,NA,
,2132866,Maine,Odocoileus virginianus,Andover,NA,Lymph Node,M,NA,
,2135225,Maine,Odocoileus virginianus,Livermore,NA,Lymph Node,M,NA,
,2135228,Maine,Odocoileus virginianus,Livermore Falls,NA,Lymph Node,M,NA,
,2135214,Maine,Odocoileus virginianus,Livermore,NA,Lymph Node,M,NA,
,2136755,Maine,Odocoileus virginianus,Peru,NA,Lymph Node,M,NA,
,2150908,Maine,Odocoileus virginianus,Upton,NA,Lymph Node,M,NA,
,2145892,Maine,Odocoileus virginianus,Farmington,NA,Lymph Node,M,NA,
,2132684,Maine,Odocoileus virginianus,Madison,NA,Lymph Node,M,NA,
,2158006,Maine,Odocoileus virginianus,Madison,NA,Lymph Node,M,NA,
,2145783,Maine,Odocoileus virginianus,Farmington,NA,Lymph Node,M,NA,
,2150909,Maine,Odocoileus virginianus,Andover,NA,Lymph Node,M,NA,
,2149513,Maine,Odocoileus virginianus,Kingfield,NA,Lymph Node,M,NA,
,2117749,Maine,Odocoileus virginianus,Madison,NA,Lymph Node,M,NA,
,2155443,Maine,Odocoileus virginianus,Rangeley Plt,NA,Lymph Node,M,NA,
,2154560,Maine,Odocoileus virginianus,Eustis,NA,Lymph Node,M,NA,
,2117771,Maine,Odocoileus virginianus,Madison,NA,Lymph Node,M,NA,
,2157261,Maine,Odocoileus virginianus,Starks,NA,Lymph Node,M,NA,
,2140395,Maine,Odocoileus virginianus,Mexico,NA,Lymph Node,M,NA,
,2145880,Maine,Odocoileus virginianus,Farmington,NA,Lymph Node,M,NA,
,2136755,Maine,Odocoileus virginianus,Peru,NA,Lymph Node,M,NA,
,2136845,Maine,Odocoileus virginianus,Chesterville,NA,Lymph Node,M,NA,
,21554381,Maine,Odocoileus virginianus,Sandy River Plt,NA,Lymph Node,NA,NA,
,2132682,Maine,Odocoileus virginianus,Solon,NA,Lymph Node,M,NA,
,2140378,Maine,Odocoileus virginianus,Peru,NA,Lymph Node,M,NA,
,2157244,Maine,Odocoileus virginianus,Starks,NA,Lymph Node,M,NA,
,2121470,Maine,Odocoileus virginianus,Kingfield,NA,Lymph Node,M,NA,
,17-8866,New Hampshire,Rangifer tarandus tarandus,Santa's Village,11/3/17,Liver,NA,4 years,Need sex
,18-6582,New Hampshire,Rangifer tarandus tarandus,Santa's Village,8/21/18,"Liver, Brain",NA,8 years,Need sex
,18-9388,New Hampshire,Rangifer tarandus tarandus,Santa's Village,11/26/18,Liver,NA,NA,Need sex and age
,18-9752,New Hampshire,Dama dama,NA,NA,Liver,NA,Fawn,"Need date, location,sex"
,19-8430,New Hampshire,Odocoileus virginianus,NA,10/18/19,Liver,NA,NA,"NHFG, need location info"
,19-9542,New Hampshire,Odocoileus virginianus,NA,NA,Liver,M,NA,"Need date, location, age"
,20-3415,New Hampshire,Rangifer tarandus tarandus,Santa's Village,5/4/20,Spleen,NA,Fawn (2 days old),Need sex
,20-3544,New Hampshire,Rangifer tarandus tarandus,Santa's Village,5/8/20,Spleen,F,Fawn (1 day old),
,20-8416,New Hampshire,Odocoileus virginianus,NA,10/28/20,Brain,NA,0.5 years,Need sex and location
,20-9361,New Hampshire,Rangifer tarandus tarandus,Santa's Village,11/30/20,Liver,NA,Fawn (5 months),
,20-9443,New Hampshire,Rangifer tarandus tarandus,Santa's Village,12/2/20,Liver,NA,Fawn (6 months),
,21-657,New Hampshire,Rangifer tarandus tarandus,Santa's Village,1/22/21,Liver,NA,17 years old,
,21-6733,New Hampshire,Odocoileus virginianus,NA,NA,Liver,NA,NA,"""Dermatophilis""; missing sex, age, date, location"
,21-6780,New Hampshire,Odocoileus virginianus,NA,8/5/21,Liver,NA,NA,"Missing location, sex, age"
,21-7488,New Hampshire,Rangifer tarandus tarandus,Santa's Village,8/27/21,Liver,NA,NA,Missing sex and age
,21-7951,New Hampshire,Rangifer tarandus tarandus,Slaley?,9/10/21,Liver,NA,11 years,"What is slaley?, Missing sex"
,21-9647,New Hampshire,Odocoileus virginianus,NA,11/3/21,Liver,NA,NA,"Missing age, sex, location"
,21-9993,New Hampshire,Rangifer tarandus tarandus,Santa's Village,11/15/21,Liver,NA,NA,"Missing age, sex"